prog start
hv ver: 3.4
F_SAMPLE = 222111
   idx;  inp_i;  inp_q;  out_i;  out_q;   ref_i; ref_q;     ok
   491;     -3;      1;      5;      5;      5;      5;      1 
   492;     -3;      1;      5;      5;      5;      5;      1 
   493;     -3;      1;      5;      5;      5;      5;      1 
   494;     -3;      1;      5;      5;      5;      5;      1 
   495;     -3;      1;      5;      5;      5;      5;      1 
   496;     -3;      1;      5;      5;      5;      5;      1 
   497;     -3;      1;      5;      5;      5;      5;      1 
   498;     -3;      1;      5;      5;      5;      5;      1 
   499;     -3;      1;      5;      5;      5;      5;      1 
   500;     -3;      1;      5;      5;      5;      5;      1 
   501;     -1;      3;      7;     -1;      5;      5;      0 
   502;     -1;      3;      5;      5;      5;      5;      1 
   503;     -1;      3;      5;      5;      5;      5;      1 
   504;     -1;      3;      5;      5;      5;      5;      1 
   505;     -1;      3;      5;      5;      5;      5;      1 
   506;     -1;      3;      5;      5;      5;      5;      1 
   507;     -1;      3;      5;      5;      5;      5;      1 
   508;     -1;      3;      5;      5;      5;      5;      1 
   509;     -1;      3;      5;      5;      5;      5;      1 
   510;     -1;      3;      5;      5;      5;      5;      1 
   511;     -1;      3;      5;      5;      5;      5;      1 
   512;     -1;      3;      5;      5;      5;      5;      1 
   513;     -1;      3;      5;      5;      5;      5;      1 
   514;     -1;      3;      5;      5;      5;      5;      1 
   515;     -1;      3;      5;      5;      5;      5;      1 
   516;     -1;      3;      5;      5;      5;      5;      1 
