----------------
prog start
hv ver: 3.13
accu test 
	 code_len = 1023, chip_div = 2, spacing_len = 1, pcode[0] = 0x23C495A7 
	 code_ctrl = 0x040003FE
  |    57   |   0   |   1  0  1  1  0   |   -127  -119   -27   -19   -17    -9    -7     1   -67   -59   |   0   ||    27  |   0  0  0  1  1   |     20    10   -20   110   290   |   0   |  ERR
  |    57   |   0   |   1  0  1  1  0   |   -132  -124   -22   -14   -22   -14   -12    -4   -62   -54   |   0   ||    27  |   0  0  0  1  1   |     25    15   -15   105   285   |   0   |  ERR
  |    58   |   0   |   0  1  0  1  1   |   -137  -129   -17    -9   -27   -19   -17    -9   -57   -49   |   0   ||    27  |   0  0  0  0  1   |     30    20   -10   100   280   |   0   |  ERR
  |    58   |   0   |   0  1  0  1  1   |   -132  -124   -22   -14   -22   -14   -22   -14   -62   -54   |   0   ||    27  |   0  0  0  0  1   |     35    25    -5   105   275   |   0   |  ERR
  |    59   |   1   |   0  0  1  0  1   |   -127  -119   -27   -19   -17    -9   -27   -19   -67   -59   |   0   ||    27  |   0  0  0  0  1   |     40    30     0   110   270   |   0   |  ERR
  |    59   |   1   |   0  0  1  0  1   |   -132  -124   -32   -24   -12    -4   -32   -24   -62   -54   |   0   ||    28  |   0  0  0  0  0   |     45    35     5   115   265   |   0   |  ERR
  |    59   |   1   |   0  0  1  0  1   |   -137  -129   -37   -29    -7     1   -37   -29   -57   -49   |   0   ||    28  |   0  0  0  0  0   |     40    30     0   110   260   |   0   |  ERR
  |    60   |   0   |   1  0  0  1  0   |   -142  -134   -42   -34    -2     6   -42   -34   -52   -44   |   0   ||    28  |   0  0  0  0  0   |     35    25    -5   105   255   |   0   |  ERR
  |    60   |   0   |   1  0  0  1  0   |   -137  -129   -47   -39    -7     1   -37   -29   -57   -49   |   0   ||    28  |   0  0  0  0  0   |     30    20   -10   100   250   |   0   |  ERR
  |    61   |   0   |   0  1  0  0  1   |   -132  -124   -52   -44   -12    -4   -32   -24   -62   -54   |   0   ||    29  |   1  0  0  0  0   |     25    15   -15    95   245   |   0   |  ERR
  |    61   |   0   |   0  1  0  0  1   |   -137  -129   -47   -39   -17    -9   -37   -29   -57   -49   |   0   ||    29  |   1  0  0  0  0   |     30    10   -20    90   240   |   0   |  ERR
  |    62   |   1   |   0  0  1  0  0   |   -142  -134   -42   -34   -22   -14   -42   -34   -52   -44   |   0   ||    29  |   1  1  0  0  0   |     35     5   -25    85   235   |   0   |  ERR
  |    62   |   1   |   0  0  1  0  0   |   -147  -139   -47   -39   -17    -9   -47   -39   -57   -49   |   0   ||    29  |   1  1  0  0  0   |     40    10   -30    80   230   |   0   |  ERR
  |    63   |   1   |   1  0  0  1  0   |   -152  -144   -52   -44   -12    -4   -52   -44   -62   -54   |   0   ||    30  |   0  1  1  0  0   |     45    15   -35    75   225   |   0   |  ERR
  |    63   |   1   |   1  0  0  1  0   |   -147  -139   -57   -49   -17    -9   -47   -39   -67   -59   |   0   ||    30  |   0  1  1  0  0   |     40    20   -30    70   220   |   0   |  ERR
  |    64   |   1   |   1  1  0  0  1   |   -142  -134   -62   -54   -22   -14   -42   -34   -72   -64   |   0   ||    30  |   0  0  1  1  0   |     35    25   -25    65   215   |   0   |  ERR
  |    64   |   1   |   1  1  0  0  1   |   -137  -129   -57   -49   -27   -19   -47   -39   -67   -59   |   0   ||    30  |   0  0  1  1  0   |     30    20   -20    70   210   |   0   |  ERR
  |    65   |   0   |   1  1  1  0  0   |   -142  -134   -62   -54   -22   -14   -42   -34   -72   -64   |   0   ||    31  |   0  0  0  1  1   |     25    15   -15    75   205   |   0   |  ERR
  |    65   |   0   |   1  1  1  0  0   |   -147  -139   -67   -59   -27   -19   -37   -29   -67   -59   |   0   ||    31  |   0  0  0  1  1   |     30    20   -10    70   200   |   0   |  ERR
